timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-05-29T21:57:30,codecarbon,9d1a4529-22cd-412c-8c06-21b6f0481b6f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1092.1661795399996,0.0042597851495685,3.900308606298964e-06,42.5,0.0,10.0,0.0128882008374249,0.0,0.003028970208186,0.015917171045611,Netherlands,NLD,,,,Linux-6.1.123+-x86_64-with-glibc2.35,3.11.11,3.0.2,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,,,12.673782348632812,machine,N,1.0
2025-05-29T22:04:57,codecarbon,8bb02e60-bcd8-461e-96ec-2e42c8543a11,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,387.57917886,0.0015120356448681,3.901230322318995e-06,42.5,0.0,10.0,0.0045739009550089,0.0,0.0010759919718361,0.005649892926845,Netherlands,NLD,,,,Linux-6.1.123+-x86_64-with-glibc2.35,3.11.11,3.0.2,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,,,12.673782348632812,machine,N,1.0
2025-05-30T05:46:20,codecarbon,fcb66b03-e255-45c7-bd61-5c40f7631ec2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,27637.395494535,0.1077565521604875,3.898940194339055e-06,42.5,0.0,10.0,0.3259758217778876,0.0,0.0766687745575697,0.4026445963354566,Netherlands,NLD,,,,Linux-6.1.123+-x86_64-with-glibc2.35,3.11.11,3.0.2,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,,,12.673782348632812,machine,N,1.0
2025-05-30T05:48:47,codecarbon,fcb66b03-e255-45c7-bd61-5c40f7631ec2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,27784.354189476,0.10833004848901645,3.89895866393933e-06,42.5,0.0,10.0,0.3277105886114557,0.0,0.07707694189431975,0.4047875305057747,Netherlands,NLD,,,,Linux-6.1.123+-x86_64-with-glibc2.35,3.11.11,3.0.2,2,Intel(R) Xeon(R) CPU @ 2.20GHz,,,,,12.673782348632812,machine,N,1.0
